"","text","text_tag","author","label"
"6917","can fill tax return estonia onlin five minut","foreign polici tax","catha kleeman","1"
"8265"," accord studi obama health care initi near percent peopl wisconsin health insur  cost go percent","health care","ingamar moyle","0"
"8357"," know accept district propos today pay increas year seven year frozen wage disrespect","educ union","lillis carrington","0"
"9237"," scott walker said labor union dont deserv nation holiday due damag economi holiday replac patriot day celebr everi year","labor","warren dockree","0"
"10137","wife ferguson mo polic chief said african american ferguson feral violent","citi govern crime crimin justic famili human right urban","nora gianilli","0"
"408","accept legal immigr ever histori unit state","immigr","tobiah ploughwright","0"
"3497","health care reform plan consid congress  final reduc cost health care","health care","floyd fiddiman","0"
"2656"," cost texa special legisl session pay million condom month pill full time sexual health educ","abort","ezechiel bonnesen","1"
"4757","santorum also vote teapot museum north carolina","feder budget messag machin new hampshir","roslyn gregori","0"
"5927","educ week  obama made signific mark educ elus account staunch defend exist public school monopoli","educ","leonore popplewell","0"
"105","nato open major terror divis im sure im go get credit larg  critic nato","foreign polici militari terror","gilbert reijmers","0"
"4982"," offic alreadi recov billion wall street worker retire investor harm","govern effici","sherlocke millsap","0"
"4192","pay attent kid go colleg end percent kid get train job know auto mechan job pay get fill airlin mechan job pay lot money get fill remark afscm forum","economi","titus shipp","1"
"8980"," mitt romney put plan parenthood state medic board fail put pro life group board","abort messag machin","corey godilington","0"
"2055"," hous republican reject straightforward measur prevent member congress presid paid govern shutdown","ethic feder budget vote record worker","percy ferrige","1"
"8567","senat obama fact never serious republican challeng","elect","janifer weatherdon","1"
"5660","your born poor your like stay poor time american histori","economi poverti","kristy mcdill","0"
"8604","incid suppos fece depict swastika wall bathroom one hall support zero fact","crime divers educ","nora gianilli","0"
"3030","trump manag charg discrimin african american break feder law","candid biographi civil right hous legal issu","mufi baskett","1"
"6464","weekend terrorist attack pari white hous said couldnt happen unit state isi couldnt reach us","terror","frieda kersting","0"
"2009","cuba embargo","congress florida foreign polici trade","bord macmakin","0"
"1494","look weve done last sever year crime rate actual gone provid number shoot go","crime histori public safeti","hurlee barrasse","0"
"7000","mani tattoo visibl bodi part keepsom applic militari","militari","gayla mityashev","1"
"3726","phoenix arizona im told now kidnap capit world right behind mexico citi","crime immigr","tally dibling","0"
"7506","legal immigr system america accept million peopl year legal countri world even come close","immigr","hyacinthe limeburn","1"
"3574","past year number peopl live lower manhattan near doubl fact lower manhattan ad peopl last year atlanta dalla philadelphia combin","hous terror","fredericka newart","1"
"5595","day republican state leader resign disgrac shred truck roll republican headquart","candid biographi","anabella keelan","1"
"1442","averag student debt come univers wisconsin madison someth like dollar","educ","creighton simmank","1"
"6208","assault rifl alreadi ban","govern regul gun terror","nertie lortz","0"
"6070"," hillari clinton presid billion lost state depart sold uranium russian faux chariti illeg delet public record murder ambassador","candid biographi","ericka la vigne","0"
"3088","congress made histori least product unpopular congress histori proud nation","congress poll","adan van dale","1"
"8236","sayssen republican follow longstand tradit fill vacanc suprem court middl presidenti elect year","congress suprem court","davon ruckert","0"
"456","california prop requirecondom usein adult film put worker adult film industri riskfor lawsuit harass","govern regul public health","olav scurfield","0"
"8556","uncl part first american troop go auschwitz liber concentr camp","candid biographi","jenn blakeway","1"
"304","spend less defens today percent gdp time sinc pearl harbor","feder budget","karolina van de vlies","0"
"8891","percent firearm dealer inspect noncompli feder law percent inspect dealer licens revok","gun market regul","kordula hartburn","1"
"7688","sinc gwinnett counti popul grown percent counti govern staff increas percent","census counti budget counti govern economi job public safeti public servic worker","jessey challen","1"
"5626","texa higher incarcer rate russia iran","crime crimin justic","amy gauge","1"
"846","rhode island voter use moder parti master lever mechan didnt singl moder ballot","elect","yuma peetermann","1"
"7377","unit state record number abort year year year","abort","ann giacobazzi","0"
"1108","accuraci state job number","job","charles fesby","0"
"9720"," idea one casino per tribe fals one","gambl","lorri boichat","0"
"1228","sen sherrod brown vote help pass barack obama job kill health care law slap small busi throughout ohio billion tax increas","health care tax","mattias halifax","0"
"6949","now pro american presid franc show live long enough anyth can happen world","foreign polici","stan charte","0"
"9076","want see job ive save creat storm help creat go anywher ohio","job accomplish","oliy lantaff","1"
"125","citi columbus save million year employe contribut guarante check pension","job labor union","tierney hurch","1"
"8838","siemen unabl fill approxim skill trade posit metro atlanta","economi educ job","barri beilby","0"
"9077","austin largest citi us texa geograph represent citi council","elect","chauncey reaman","1"
"5707","consum financi protect bureau congression oversight","congression rule financi regul","orel kasparski","0"
"6372","major drunk drive death injuri caus drunk drive offend prior convict","alcohol transport","floyd goodsall","1"
"5540","geithner failur pay self employ tax work imf mistak common made peopl work intern intern institut","tax","percy ferrige","1"
"6114"," colorado congression candid morgan carrol vote allow welfar recipi use tax dollar atm strip club pot dispensari","marijuana welfar","petr bumby","1"
"7018"," hillari clinton energi agenda  cost us economi trillion","energi","mattias halifax","0"
"25"," mitt romney want get rid plan parenthood","abort feder budget health care","lonni mclewd","0"
"5906","never ask singl earmark pork barrel project state arizona","feder budget","clara bolduc","0"
"4989","year state budget spend propos fiscal year repres infus billion addit money k educ","educ state budget state financ","kathlin jain","0"
"7873","democrat candid jeff green ran congress california republican","candid biographi elect messag machin","issiah scales","1"
"4218","unit state never stood seen innoc peopl slaughter extent  happen syria","foreign polici histori militari","gustie prendeguest","0"
"9811","solar energi job unit state georgia","energi","minetta fraanchyonok","0"
"2003","betti sutton fellow democrat went spend spree now credit card max","deficit feder budget","boycie seston","0"
"8002","make averag amount peopl wisconsin got less week tax state incom tax cut didnt show paycheck","state budget tax","honoria leban","1"
"7434","believ tax carbon deal aggress climat chang hillari clintonsposit","cap trade climat chang energi environ","mike coldridge","1"
"9172","five guantanamo detaine swap bow bergdahl right now back battlefield","terror","dee hanford","0"
"2065","right work state much lower level unemploy union state","economi labor pundit worker","cristian duthie","1"
"1163","feder offici declar grant fund use milwauke streetcar project mean isnt possibl redirect money mode public transport public school","citi govern infrastructur transport","kath gauvain","1"
"9192","islam state attempt attack fort knox","terror","neall mcshirrie","0"
"5715"," georg soro bill gate fund bioweapon lab sierra leon caus ebola outbreak","ebola public health","port guinnane","0"
"1212","honduran children came countri secretari clinton said send back","immigr","shaughn willisch","1"
"8813","obama administr propos mine anoth billion ton wyom coal unleash three time carbon pollut obama clean power plan even save","climat chang environ","starla tellenbroker","0"
"9497","just fought republican budget end medicar know","medicar","tabitha snuggs","0"
"4890","five percent american pay half incom tax countri forti percent american pay incom tax","tax","roslyn yerill","1"
"3410","russia peopl absolut equal regardless religion sex ethnic sexual orient countri world crimin liabil homosexu","civil right","melva vanyashin","0"
"10165","weve got percent unemploy ohio includ folk stop look work actual percent","economi job","mellie kertess","0"
"2341","januari novemb year far hottest first month year record","climat chang energi environ histori scienc weather","keri leverson","1"
"3767","unit state current highest corpor tax rate world","corpor tax","ado itzakson","1"
"4632"," gerald daugherti endors austin american statesman","counti govern elect","beverie kelson","0"
"4316","top percent incom earner pay percent tax feder govern","feder budget tax","eamon brabbs","0"
"6305","koch brother alon gave twice much money scott walker total amount money rais tom barrett","campaign financ corpor correct updat elect","shay krier","0"
"3744","massachusett half primari care doctor accept new patient","health care","ivory honisch","1"
"6295","state legislatur attempt outlaw stem cell research pass bill microchip brain talk seced union","messag machin scienc state","dar belford","1"
"6874","given unus travel expens year supplement school system general budget","educ","arvy alldridge","0"
"1269","thing said prank call blogger pose gop contributor david koch thing ive said public along wisconsin budget debat","candid biographi labor state budget","charlton danbye","0"
"118"," oregon rep peter defazio earl blumenau socialist open serv us congress","candid biographi","cati tomei","0"
"3046"," ir employe ad administ obamacar look tax implic","health care","munmro grunder","0"
"5605"," north carolina rep rene ellmer republican vote amend priorit deport sexual crimin illeg immigr","congress crime crimin justic immigr public safeti","kelli labrum","0"
"2481"," tax revenu lowest sinc world war ii","tax","sharai cubbit","0"
"4461","health bill plan compar effect research use govern ration care","health care","levi ship","0"
"6493","balanc budget amend","feder budget","mattias halifax","0"
"8918","cant build christian church saudi arabia","islam religion","candide coatman","1"
"2048","pregnant women tri buy health insur bar matern coverag pre exist condit","health care","bart moseley","1"
"6100"," tax plan wouldnt leav feder govern trillion hole","feder budget tax","lyndell deavin","0"
"3832","senat mccain vote bush tax cut now","tax","jocelin burchess","1"
"7200"," mitt romney carri interest incom tax trick","candid biographi messag machin tax","cairistiona camplen","0"
"9420","oddest thing want america massachusett mandat health care massachusett hillarycar want america","job accomplish","helaine brooking","1"
"1034","nineti four percent bill pass senat debat vote amend read bill onlin disclosur","govern effici transpar","myriam swinfen","0"
"8055","tax polici georg w bush creat dynam effect high growth","economi tax","frances de la yglesia","0"
"9199","million peopl lose current coverag includ senior citizen medicar","health care medicar messag machin news tampa bay","kali cecere","0"
"4668","justin amash rate michigan conserv nation right life","abort","cati tomei","0"
"1339","know us one nation world without offici languag","legal issu","si plomer","1"
"8191","sinc congress rais salari time reflect rise cost rais minimum wage three time","congress economi histori incom job labor poverti state worker","jud truder","0"
"4345"," republican drawn map propos us hous district texa gerrymand nine million latino texa make sure elector opportun","elect redistrict","rochella howkins","1"
"5507","marco rubio made clear think donald trump con man hewent  doesnt trust donald trump nuclear code","candid biographi","trever loadman","1"
"4751","homicid black tripl sinc florida stand ground law exist","crime crimin justic divers","dyann ferrea","0"
"7687","pink poni club dekalb counti never cite violat ordin state law","legal issu","broddie darrigrand","1"
"1710","feder govern lent billion state own oil compani brazil allow explor oil gas","energi foreign polici trade","nertie lortz","0"
"2683","whether bps billion fund compens oil spill victim slush fund","energi environ oil spill","karolina van de vlies","0"
"1576","mark kirk lie go war oppos middl class tax cut said unemploy big issu","candid biographi economi messag machin militari tax","harwilll roskeilly","0"
"2234","think came florida one time activ fundrais","ethic","rubina christian","0"
"2509","gas price doubl obama oppos explor energi alaska gave million tax dollar solyndra went bankrupt block keyston pipelin  pay pump","climat chang energi gas price messag machin","candide coatman","0"
"4169","gwinnett medic center oper negat part illeg immigr","health care immigr","min rabat","0"
"3848","greenest counti america","environ","oliy lantaff","0"
"6936","north carolina coast possibl best place us offshor windfarm","climat chang energi environ state weather","aubrey swaffer","1"
"2847","registr fewer percent florida voter independ","elect","natalie brandli","1"
"5243","just american wealth half american combin","economi poverti state budget","claybourne oday","1"
"3109","ronald reagan came econom growth averag less percent year there one four year period  true  true","economi histori job","ivory honisch","0"
"10099"," sinc austin tax burden rose percent famili incom rose percent","citi budget citi govern tax","lauralee jepps","1"
"7515","last two year support propos billion worth target cut dr gingrey present zero","candid biographi feder budget","teddie rolfs","0"
"6060","citizen vote day voter registr place peopl just walk vote","elect immigr","renae deathridge","0"
"9747","obama promis cut deficit half end first term hasnt even come close","deficit messag machin","emmalynne harman","1"
"7830","countri percent dropout rate","educ abc news week","rory hassen","0"
